                                                                                                                                                                                                                                                          ,,,,,
"Source: USCIS, data as of August 10, 2018. Notes:  All data are based on approved petitions during the fiscal year. Petitions approved in a fiscal year may be filed in previous fiscal years.  Per USCIS best practices, units of less than 10 beneficiaries are masked to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the education field is not captured by the USCIS electronic data storage system. Average salary is based on data reported by the petitioner in the petition and may include part-time employment or may be reported inaccurately. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. Instead of the required degree, a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. The letter H replaces the value in the total column where one could deduce the value of D. Employers without tax identification numbers in our system were excluded. ",,,,,
Employer Tax Number (Last 4 digits),Employer Name,Number of Approved Petitions,Average Salary,Beneficiary's Degree/Diploma,
4155,COGNIZANT TECH SOLUTIONS US,"10,479","$73,598",Bachelor's,"8,041"
 , , , ,Master's Degree,"2,433"
 , , , ,Missing Education,D
 , , , ,Associate Degree,D
 , , , ,Doctorate,D
 , , , ,High School,D
 , , , ,Some College,D
0235,INFOSYS LIMITED,"9,185","$74,204",Bachelor's,"7,409"
 , , , ,Master's Degree,"1,711"
 , , , ,Professional Degree,53
 , , , ,Associate Degree,D
 , , , ,Missing Education,D
 , , , ,Doctorate,D
 , , , ,No Diploma,D
 , , , ,Some College,D
9806,TATA CONSULTANCY SERVICES LI,"6,118","$65,545",Bachelor's,"4,861"
 , , , ,Master's Degree,"1,251"
 , , , ,Associate Degree,D
 , , , ,Professional Degree,D
4401,WIPRO LIMITED,"6,046","$68,593",Bachelor's,"3,609"
 , , , ,Master's Degree,"2,349"
 , , , ,Associate Degree,46
 , , , ,High School,18
 , , , ,Professional Degree,16
 , , , ,Missing Education,D
 , , , ,No Diploma,D
 , , , ,Some College,D
2904,ACCENTURE LLP,"3,917","$69,699",Bachelor's,"2,875"
 , , , ,Master's Degree,"1,030"
 , , , ,High School,D
 , , , ,Associate Degree,D
 , , , ,Doctorate,D
4442,MICROSOFT CORP,"3,398","$113,162",Bachelor's,"1,767"
 , , , ,Master's Degree,"1,433"
 , , , ,Doctorate,187
 , , , ,Professional Degree,D
 , , , ,Some College,D
 , , , ,Missing Education,D
 , , , ,No Diploma,D
5035,HCL AMERICA INC,"1,878","$71,851",Bachelor's,"1,140"
 , , , ,Master's Degree,713
 , , , ,High School,19
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
 , , , ,Some College,D
1430,IBM INDIA PRIVATE LIMITED,"1,787","$72,048",Bachelor's,"1,101"
 , , , ,Master's Degree,681
 , , , ,High School,D
 , , , ,Professional Degree,D
 , , , ,Some College,D
4303,LARSEN & TOUBRO INFOTECH LIM,"1,752","$61,165",Bachelor's,"1,449"
 , , , ,Master's Degree,H
 , , , ,Missing Education,D
8334,SATYAM COMPUTER SVCS LTD,"1,561","$71,927",Bachelor's,"1,031"
 , , , ,Master's Degree,519
 , , , ,High School,D
 , , , ,Some College,D
3581,GOOGLE INC,"1,484","$128,143",Master's Degree,702
 , , , ,Bachelor's,561
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
2743,INTEL CORP,"1,459","$96,741",Master's Degree,851
 , , , ,Doctorate,435
 , , , ,Bachelor's,H
 , , , ,Professional Degree,D
4513,DELOITTE CONSULTING LLP,"1,393","$92,051",Bachelor's,961
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
6545,AMAZON CORPORATE LLC,"1,350","$106,789",Master's Degree,780
 , , , ,Bachelor's,509
 , , , ,Doctorate,56
 , , , ,Professional Degree,D
 , , , ,No Diploma,D
 , , , ,Some College,D
3900,SYNTEL CONSULTING INC,"1,349","$62,429",Bachelor's,899
 , , , ,Master's Degree,446
 , , , ,High School,D
 , , , ,Professional Degree,D
9951,CISCO SYSTEMS INC,"1,125","$112,160",Master's Degree,597
 , , , ,Bachelor's,496
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
7787,QUALCOMM TECHNOLOGIES INC,"1,101","$98,210",Master's Degree,790
 , , , ,Bachelor's,220
 , , , ,Doctorate,88
 , , , ,Professional Degree,D
 , , , ,High School,D
5249,ORACLE AMERICA INC,958,"$109,706",Master's Degree,464
 , , , ,Bachelor's,452
 , , , ,Doctorate,H
 , , , ,Missing Education,D
4110,APPLE INC,905,"$126,228",Master's Degree,438
 , , , ,Bachelor's,390
 , , , ,Doctorate,69
 , , , ,Professional Degree,D
 , , , ,Missing Education,D
9797,UST GLOBAL INC,884,"$63,863",Bachelor's,580
 , , , ,Master's Degree,304
9720,MPHASIS CORPORATION,852,"$71,154",Bachelor's,600
 , , , ,Master's Degree,246
 , , , ,Some College,D
 , , , ,High School,D
4428,JPMORGAN CHASE & CO,850,"$108,733",Master's Degree,446
 , , , ,Bachelor's,367
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
5497,IGATE TECHNOLOGIES INC,850,"$68,711",Bachelor's,653
 , , , ,Master's Degree,H
 , , , ,Associate Degree,D
8324,PRICEWATERHOUSECOOPERS LLP,778,"$89,701",Bachelor's,401
 , , , ,Master's Degree,368
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
5596,ERNST & YOUNG US LLP,688,"$88,806",Master's Degree,410
 , , , ,Bachelor's,268
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
 , , , ,Some College,D
5078,LARSEN & TOUBRO LIMITED,661,"$54,421",Bachelor's,580
 , , , ,Master's Degree,81
7166,NTT DATA INC,638,"$82,942",Bachelor's,347
 , , , ,Master's Degree,H
 , , , ,Associate Degree,D
1985,IBM CORPORATION,585,"$107,357",Master's Degree,290
 , , , ,Bachelor's,201
 , , , ,Doctorate,80
 , , , ,Some College,D
 , , , ,Associate Degree,D
 , , , ,Professional Degree,D
 , , , ,High School,D
 , , , ,No Diploma,D
2696,TECH MAHINDRA AMERICAS INC,576,"$66,681",Bachelor's,368
 , , , ,Master's Degree,201
 , , , ,High School,D
 , , , ,Professional Degree,D
9979,CAPGEMINI FINANCIAL SVCS USA,554,"$95,698",Bachelor's,339
 , , , ,Master's Degree,215
1325,POLARIS SOFTWARE LAB INDIA L,531,"$65,966",Bachelor's,297
 , , , ,Master's Degree,234
6346,PATNI AMERICAS INC,486,"$61,866",Bachelor's,374
 , , , ,Master's Degree,108
 , , , ,Associate Degree,D
 , , , ,Doctorate,D
2018,SYNTEL INC,484,"$85,754",Bachelor's,309
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
7665,BANK OF AMERICA NA,461,"$106,692",Master's Degree,254
 , , , ,Bachelor's,183
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
6945,CSC COVANSYS CORP,441,"$83,293",Bachelor's,257
 , , , ,Master's Degree,184
1374,HEXAWARE TECHNOLOGIES INC,414,"$64,507",Bachelor's,325
 , , , ,Master's Degree,89
5019,FACEBOOK INC,412,"$121,878",Bachelor's,195
 , , , ,Master's Degree,172
 , , , ,Doctorate,H
 , , , ,Some College,D
0924,EBAY INC,404,"$121,131",Master's Degree,230
 , , , ,Bachelor's,156
 , , , ,Doctorate,14
 , , , ,No Diploma,D
 , , , ,Professional Degree,D
 , , , ,Some College,D
8880,GOLDMAN SACHS & CO,387,"$112,529",Master's Degree,184
 , , , ,Bachelor's,176
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
1517,DELOITTE & TOUCHE LLP,381,"$71,848",Bachelor's,234
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
0009,EMC CORPORATION,378,"$95,271",Master's Degree,216
 , , , ,Bachelor's,152
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
2959,CAPGEMINI U S LLC,366,"$95,564",Bachelor's,260
 , , , ,Master's Degree,104
 , , , ,Missing Education,D
 , , , ,Doctorate,D
4409,WAL-MART ASSOCIATES INC,366,"$112,957",Master's Degree,174
 , , , ,Bachelor's,163
 , , , ,Doctorate,14
 , , , ,Professional Degree,H
 , , , ,Some College,D
0434,NEW YORK CITY DEPT OF EDUCAT,350,"$70,293",Master's Degree,284
 , , , ,Bachelor's,36
 , , , ,Doctorate,30
7984,BLOOMBERG LP,345,"$118,369",Master's Degree,221
 , , , ,Bachelor's,95
 , , , ,Doctorate,24
 , , , ,Professional Degree,D
 , , , ,High School,D
 , , , ,Some College,D
5091,MINDTREE LIMITED,343,"$72,650",Bachelor's,215
 , , , ,Master's Degree,128
3746,ZENSAR TECHNOLOGIES INC,327,"$74,729",Bachelor's,171
 , , , ,Master's Degree,156
1436,HEWLETT PACKARD COMPANY,322,"$107,849",Master's Degree,171
 , , , ,Bachelor's,139
 , , , ,Doctorate,12
4585,CLEVELAND CLINIC FOUNDATION,321,"$74,809",Professional Degree,240
 , , , ,Doctorate,58
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
5207,KPMG LLP,319,"$83,476",Master's Degree,176
 , , , ,Bachelor's,133
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
5110,JOHNS HOPKINS UNIV,314,"$63,532",Doctorate,189
 , , , ,Professional Degree,62
 , , , ,Master's Degree,H
 , , , ,Bachelor's,D
6583,HTC GLOBAL SERVICES INC,312,"$74,319",Bachelor's,204
 , , , ,Master's Degree,H
 , , , ,Doctorate,D
3200,STATE UNIV OF NEW YORK AT BU,300,"$65,008",Doctorate,166
 , , , ,Professional Degree,86
 , , , ,Master's Degree,35
 , , , ,Bachelor's,13
6365,STANFORD UNIV,293,"$77,173",Doctorate,226
 , , , ,Master's Degree,26
 , , , ,Professional Degree,23
 , , , ,Bachelor's,18
2913,VMWARE INC,288,"$115,389",Master's Degree,179
 , , , ,Bachelor's,99
 , , , ,Doctorate,10
7549,NVIDIA CORP,285,"$119,318",Master's Degree,161
 , , , ,Bachelor's,108
 , , , ,Doctorate,16
7090,CUMMINS INC,275,"$77,682",Master's Degree,186
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
3911,HEADSTRONG SERVICES LLC,272,"$77,195",Bachelor's,181
 , , , ,Master's Degree,91
4034,RITE AID CORPORATION,266,"$88,571",Bachelor's,177
 , , , ,Master's Degree,47
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
5998,MORGAN STANLEY & CO LLC,254,"$126,074",Master's Degree,118
 , , , ,Bachelor's,114
 , , , ,Doctorate,H
 , , , ,Professional Degree,D
5772,DELOITTE TAX LLP,251,"$71,574",Bachelor's,197
 , , , ,Master's Degree,51
 , , , ,Doctorate,D
 , , , ,Professional Degree,D
0487,PAYPAL INC,248,"$122,726",Master's Degree,150
 , , , ,Bachelor's,H
 , , , ,Doctorate,D
2033,UNIVERSITY OF MARYLAND,243,"$61,566",Doctorate,176
 , , , ,Master's Degree,49
 , , , ,Bachelor's,D
 , , , ,Professional Degree,D
6309,UNIV OF MICHIGAN,240,"$62,220",Doctorate,155
 , , , ,Master's Degree,43
 , , , ,Professional Degree,28
 , , , ,Bachelor's,12
 , , , ,Associate Degree,D
 , , , ,Some College,D
0547,NIIT TECHNOLOGIES LIMITED,238,"$65,970",Bachelor's,141
 , , , ,Master's Degree,97
