"LICENSE TYPE","LICENSE NUMBER","LICENSE EXPIRATION DATE","COUNTY","NAME","MAILING ADDRESS LINE1","MAILING ADDRESS LINE2","MAILING ADDRESS CITY, STATE ZIP","PHONE NUMBER","BUSINESS NAME","BUSINESS ADDRESS-LINE1","BUSINESS ADDRESS-LINE2","BUSINESS CITY, STATE ZIP","BUSINESS COUNTY CODE","BUSINESS COUNTY","BUSINESS ZIP","BUSINESS PHONE","LICENSE SUBTYPE","CONTINUING EDUCATION FLAG","Same Address or not","Business Address that mentions BOX","Mailing address that mentions BOX","Phone-same or not"
"Service Company",245563, 06/30/2027,"BRAZOS","A-1 PUMP INC","","","","","A-1 PUMP INC","6125 STATE HWY 21 E","","Bryan TX 77808","0041","BRAZOS","77808","9797782418","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245697, 04/30/2027,"ELLIS","VICTRON ENERGY INC","","","","","VICTRON ENERGY INC","105 YMCA DR","","Waxahachie TX 75168","0139","ELLIS","75168","4695172000","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245736, 11/30/2025,"MIDLAND","G E GOODSON SERVICE COMPANY INC","","","","","G E GOODSON SERVICE COMPANY INC","4612 SINCLAIR AVE","","Midland TX 79707","0329","MIDLAND","79707","4325202128","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245740, 06/30/2027,"HARRIS","BURNS PUMP SERVICE INC","","","","","BURNS PUMP SERVICE INC","1612 SHEPHERD DR","","Houston TX 77007","0201","HARRIS","77007","7138623254","Service Company","N","Same address",0,0,"Same phone"
"Service Company",245743, 09/11/2027,"TAYLOR","TESCO EQUIPMENT AND SUPPLY CO.","","","","","TESCO EQUIPMENT AND SUPPLY CO.","1024 WALNUT ST","","ABILENE TX 79601-4223","0441","TAYLOR","79601","3256768241","Service Company","N","Same address",0,0,"Same phone"
"Service Company",245765, 07/31/2027,"HIDALGO","SOUTH TEXAS PUMP INC","","","","","SOUTH TEXAS PUMP INC","7414 N FM 88","","WESLACO TX 78596","0215","HIDALGO","78596","9569693534","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245803, 03/21/2026,"HARRIS","B AND F MAINTENANCE SERVICE","","","","","B AND F MAINTENANCE SERVICE","408 DALE ST","","Houston TX 77060","0201","HARRIS","77060","2814478162","Service Company","N","Same address",0,0,"Same phone"
"Service Company",245826, 10/28/2025,"ANGELINA","FRANK GREEN","","","","","FRANK GREEN","1088 LINDSEY LN","","Huntington TX 75949","0005","ANGELINA","75949","9364223110","Service Company","N","not the same",0,4,"Same phone"
"Service Company",245881, 12/30/2025,"JEFFERSON","PUMPTEX INC","","","","","PUMPTEX INC","715 CHAMBERLIN DR","","Beaumont TX 77707","0245","JEFFERSON","77707","4098122210","Service Company","N","not the same",0,4,"Same phone"
"Service Company",260991, 07/12/2026,"HARRIS","LIBERTY EQUIPMENT SALES INC","","","","","LIBERTY EQUIPMENT SALES INC","15115 CLAYPOOL ST","","Houston TX 77032","0201","HARRIS","77032","2819878708","Service Company","N","Same address",0,0,"Same phone"
"Service Company",296479, 07/31/2027,"HARDIN","TRIDENT PETROLEUM EQUIPMENT INC","","","","","TRIDENT PETROLEUM EQUIPMENT INC","9176 CYPRESS DR","","LUMBERTON TX 76657","0309","MCLENNAN","76657","4096737791","Service Company","N","not the same",0,4,"Same phone"
"Service Company",323369, 04/07/2026,"OUT OF STATE","JONES BROTHERS CO INC","","","","","JONES BROTHERS CO INC","4100 MEADOW LN","","BOSSIER CITY LA 71111","0999","OUT OF STATE","71111","3187465735","Service Company","N","Same address",0,0,"Same phone"
"Service Company",431274, 06/08/2025,"DALLAS","BASSCO SERVICES INC","","","","","BASSCO SERVICES INC","9219 VISCOUNT ROW","","Dallas TX 75247","0113","DALLAS","75247","2143524432","Service Company","N","Same address",0,0,"Same phone"
"Service Company",447016, 07/31/2025,"TARRANT","MSCS LTD","","","","","MSCS LTD","206 SHELBY RD","","Fort Worth TX 76140","0439","TARRANT","76140","9722240699","Service Company","N","Same address",0,0,"Same phone"
"Service Company",462091, 11/30/2025,"CHAMBERS","EAGLE PUMP AND METERS INC","","","","","EAGLE PUMP AND METERS INC","4200 KENDALL RD","","BAYTOWN TX 77523","0071","CHAMBERS","77523","2815731662","Service Company","N","not the same",0,4,"Same phone"
"Service Company",472763, 10/30/2025,"COMAL","CLEAN EARTH SOLUTIONS INC","","","","","CLEAN EARTH SOLUTIONS INC","1385 WALD RD","","New Braunfels TX 78132","0091","COMAL","78132","8306261422","Service Company","N","Same address",0,0,"Same phone"
"Service Company",477796, 07/31/2027,"TAYLOR","INT CONSULTANTS OF THE ENVIRONMENT INC","","","","","INT CONSULTANTS OF THE ENVIRONMENT INC","1003 SCOTT ST","","TYE TX 79563-2745","0441","TAYLOR","79563","3256924690","Service Company","N","Same address",0,0,"Same phone"
"Service Company",480414, 08/31/2025,"HENDERSON","CHANDLER PUMP SERVICE INC","","","","","CHANDLER PUMP SERVICE INC","516 SUSIE ST","","Chandler TX 75758","0213","HENDERSON","75758","9038494558","Service Company","N","Same address",0,0,"Same phone"
"Service Company",486269, 07/13/2027,"WILLIAMSON","ERLING SALES AND SERVICE LLC","","","","","ERLING SALES AND SERVICE LLC","225 BENELLI DR","","HUTTO TX 78634","0491","WILLIAMSON","78634","8003245000","Service Company","N","not the same",0,4,"not the same"
"Service Company",489156, 08/28/2027,"POTTER","TOOT N TOTUM FOOD STORES LLC","","","","","TOOT N TOTUM FOOD STORES LLC","1201 S TAYLOR ST","","Amarillo TX 79101","0375","POTTER","79101","8068038007","Service Company","N","Same address",0,0,"Same phone"
"Service Company",498339, 02/28/2027,"NUECES","R AND R PETRO SERVICES INC","","","","","R AND R PETRO SERVICES INC","5729 LEOPARD ST BLDG 3","","Corpus Christi TX 78408","0355","NUECES","78408","3612897730","Service Company","N","Same address",0,0,"Same phone"
"Service Company",498350, 12/01/2025,"HARRIS","KT FUEL SERVICE INC","","","","","KT FUEL SERVICE INC","10800 GOSLING RD","","SPRING TX 77393","0201","HARRIS","77393","2815430643","Service Company","N","not the same",0,4,"Same phone"
"Service Company",507291, 10/03/2025,"ORANGE","B AND P PUMP SERVICE LLC","","","","","B AND P PUMP SERVICE LLC","5635 WESTLAKE DR","","Vidor TX 77662","0361","ORANGE","77662","4096221881","Service Company","N","Same address",0,0,"Same phone"
"Service Company",508485, 10/30/2025,"COLLIN","LYND FUELING SYSTEM INC","","","","","LYND FUELING SYSTEM INC","1701 SUMMIT AVE STE 1","","Plano TX 75074","0085","COLLIN","75074","9726331022","Service Company","N","not the same",0,4,"Same phone"
"Service Company",514153, 02/06/2026,"ANDERSON","KYLE MCGILL'S T AND P SERVICE LLC","","","","","KYLE MCGILL'S T AND P SERVICE LLC","17130 STATE HIGHWAY 155","","FRANKSTON TX 75763-6742","0001","ANDERSON","75763","9037237157","Service Company","N","Same address",0,0,"Same phone"
"Service Company",521518, 05/10/2026,"HARRIS","GEO ENVIRONMENTAL CONSULTANTS INC","","","","","GEO ENVIRONMENTAL CONSULTANTS INC","40 LYERLY ST","","Houston TX 77022","0201","HARRIS","77022","7136954708","Service Company","N","Same address",0,0,"Same phone"
"Service Company",522428, 08/28/2027,"OUT OF STATE","CROMPCO LLC","","","","","CROMPCO LLC","1815 GALLAGHER RD","","PLYMOUTH MEETING PA 19462","0999","OUT OF STATE","19462","6102765914","Service Company","N","Same address",0,0,"Same phone"
"Service Company",581183, 08/19/2027,"MONTGOMERY","RICKY J BROWN","","","","","RICKY J BROWN","3115 VINCENT CROSSING DR","","Spring TX 77386","0339","MONTGOMERY","77386","2815462053","Service Company","N","Same address",0,0,"Same phone"
"Service Company",587408, 06/30/2025,"HARRIS","STEVE'S INSTALLATION CO INC","","","","","STEVE'S INSTALLATION CO INC","215 BENNINGTON ST","","HOUSTON TX 77022","0201","HARRIS","77022","7136956457","Service Company","N","not the same",0,0,"Same phone"
"Service Company",590454, 07/31/2027,"OUT OF STATE","MEASUREMENT TECHNOLOGIES INC","","","","","MEASUREMENT TECHNOLOGIES INC","417 N 8TH ST","","LA PORTE TX 77571-3225","0201","HARRIS","77571","9858769480","Service Company","N","not the same",0,4,"Same phone"
"Service Company",595560, 03/08/2026,"BOWIE","4 CORNERS PETROLEUM EQUIPMENT INC","","","","","4 CORNERS PETROLEUM EQUIPMENT INC","118 INDUSTRIAL BLVD","","Nash TX 75569","0037","BOWIE","75569","9037937454","Service Company","N","Same address",0,0,"Same phone"
"Service Company",603990, 12/30/2025,"EL PASO","C AND L PUMP SERVICE INC","","","","","C AND L PUMP SERVICE INC","1510 N ZARAGOSA STE B6","","El Paso TX 79936","0141","EL PASO","79936","8882573216","Service Company","N","not the same",0,0,"Same phone"
"Service Company",609380, 08/04/2027,"LUBBOCK","LUBBOCK PLAINS PUMP CO INC","","","","","LUBBOCK PLAINS PUMP CO INC","3045 CLOVIS RD","","Lubbock TX 79415","0303","LUBBOCK","79415","8067639239","Service Company","N","not the same",0,4,"not the same"
"Service Company",613251, 08/23/2026,"HAYS","EXCELL ENVIRONMENTAL INC","","","","","EXCELL ENVIRONMENTAL INC","549 S LOOP 4","","Buda TX 78610","0209","HAYS","78610","5122805230","Service Company","N","Same address",0,0,"Same phone"
"Service Company",619611, 10/30/2025,"HARRIS","MANSOOR A BUKHARI","","","","","MANSOOR A BUKHARI","5307 CLARKDON COURT","","Houston TX 77066","0201","HARRIS","77066","7132969745","Service Company","N","not the same",0,4,"Same phone"
"Service Company",622456, 12/30/2025,"TARRANT","HT MAINTENANCE INC","","","","","HT MAINTENANCE INC","2943 CAYUGA LN","","GRAND PRAIRIE TX 75054","0113","DALLAS","75054","8172331880","Service Company","N","not the same",0,4,"Same phone"
"Service Company",625946, 10/28/2025,"HARRIS","COASTAL TANK AND TESTING LLC","","","","","COASTAL TANK AND TESTING LLC","1717 STRAWN RD","","HOUSTON TX 77039","0201","HARRIS","77039","2814428402","Service Company","N","Same address",0,0,"Same phone"
"Service Company",641876, 02/14/2027,"OUT OF STATE","HUELS SERVICE INC","","","","","HUELS SERVICE INC","835 W DESERT HILLS DR","","PHOENIX AZ 85086","0999","OUT OF STATE","85086","6234657170","Service Company","N","not the same",0,0,"Same phone"
