"Country","Variable","Score","isOpen","aExists","bAvailable","cMachineReadable","dBulk","eFree","fLicense","gUpdated","hSustainable","iDiscoverable","jLinked","aAgencyResponsible","aNotHeld","aThirdPartyMandate","aDetails","bURL","bThirdParty","cURL","cFormats","cNotAvailable","cAdditional","dURL","dNotes","ePolicy","eURL","fLicense","fURL","gLastUpdated","gChecked","gFrequency","hNotes","iNotes","jDocumentation","jExample"
"Argentina","ODB.2013.D1","80","0","5","10","15","15","15","0","10","5","5","0","There are various agencies that display mapping data, but the two mayor providers would be the Instituto Geográfico Nacional (1) and the Instituto Nacional de Estadística y Censos (2). 

##Sources:

(1): http://www.ign.gob.ar/
(2): http://www.indec.mecon.ar/","0","0","","IGN provides a series of maps in shapefile. INEC provides shapefile but users must be registered in their site.

(1): Instituto Geográfico Nacional, http://ign.gob.ar/argenmap/argenmap.jquery/docs/#1, Accessed on September 29th, 2014
(2): Instituto Nacional de Estadística y Censos, http://www.indec.gov.ar/codgeo.asp/, Accessed on September 29th, 2014","","Administrative limits: http://www.ign.gob.ar/archivos/sig250/publicacion-conae-2012/008_limites_politico_administrativos.zip
Provinces: http://www.ign.gob.ar/archivos/sig250/publicacion-conae-2012/008b-provincias.zip","shp","0","","","zipped shp","","","","","3/1/2013","9/29/2014","unknow","","","0","0"
"Argentina","ODB.2013.D2","5","0","5","0","0","0","0","0","0","0","0","0","The land ownership data is collected by the land registry office in each province and there is also the Consejo Federal del Catastro that, in some way coordinates all these offices. Many of the provincial offices has online information but is only accessible for registered public notaries, surveyors and authorized public servants and public bodies.","0","0","(1): Catastro Tucumán, http://www.catastrotucuman.gov.ar/AccesoWeb.htm, Accessed on September 29th, 2014
(2): Consejo Federal del Catastro, http://www.cfcatastro.com.ar/inicio.aspx, Accessed on September 29th, 2014
(3): Dirección de Catastro de Córdoba, http://dgc.cba.gov.ar/CDC/PageHome.aspx#&panel1-2, Accessed on 13th May, 2014
(4): Solicitud de información catastral, http://portaldetramites.cba.gov.ar/ver/servicio/388, Accessed on September 29t, 2014","0","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","ODB.2013.D4","80","0","5","10","15","15","15","0","10","5","5","0","There is a quantity of statistical datasets in Argentina collected by the Instituto Nacional de Estadística y Censos (1). Even though these data in not available in open formats. Some economical datasets have been observed more than once by international institutions such as the International Monetary Fund. In this case the IMF has issued a declaration of censorship and called on Argentina to adopt remedial measures to address the quality of official GDP and consumer price index data.

##Sources:

(1): http://www.indec.mecon.ar","0","0","","Census data (1)
(1): http://www.censo2010.indec.gov.ar/

Economic census (2)
(2): http://www.indec.mecon.ar/economico2005/inc_presenta.asp","No","Available from http://www.censo2010.indec.gov.ar/resultadosdefinitivos_totalpais.asp
http://www.censo2010.indec.gov.ar/cuadrosDefinitivos/Total_pais/P1-P_Total_pais.xls
http://www.censo2010.indec.gov.ar/cuadrosDefinitivos/Total_pais/P2-P_Total_pais.xls

Job Market, Health, Science 
http://www.indec.mecon.ar/bases-de-datos.asp","xls,spss","0","downloading of some datasets requires registration","","see c:","","","No license found. In some cases, users must be registered to access the data. For example, in http://www.indec.mecon.ar/bases-de-datos.asp","","Census: 2010
Job Market: 2013","9/29/2014","irregular","","","0","0"
"Argentina","ODB.2013.D5","15","0","5","10","0","0","0","0","0","0","0","0","There is data which is in charge of the Oficina Nacional de Presupuesto (1), that has place in the Secretaría de Hacienda, a part of the Ministerio de Economía y Finanzas Públicas. However, since the data is contained in written documents, it is really hard to obtain it.

##Source

(1): http://www.mecon.gov.ar","0","0","","(1): Oficina Nacional de Presupuesto, http://www.mecon.gov.ar/onp/html/, Accessed on September 29th, 2014","No","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","ODB.2013.D6","15","0","5","10","0","0","0","0","0","0","0","0","There is data on government spend at the Oficina Nacional de Presupuesto, that has place in the Secretaría de Hacienda, a part of the Ministerio de Economía y Finanzas Públicas.

The Instituto Nacional de Estadística y Censos counts with more detailed data, according to the categories determined by the law of budget.","0","0","","Since the data is contained in written documents is really hard to obtain it (1). There are some more detailed reports but they are complete to 2009 (2).

(1): Oficina Nacional de Presupuesto, http://www.mecon.gov.ar/onp/html/, Accessed on September 29th, 2014
(2): Oficina Nacional de Presupuesto, http://www.mecon.gov.ar/peconomica/basehome/serie_gasto.html#, Accessed on 13th May, 2014","No","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","ODB.2013.D7","15","0","5","10","0","0","0","0","0","0","0","0","There is in place a National Register of Societies which includes commercial societies. This register depends of the Administración Federal de Ingresos Públicos and the Inspección General de Justicia. You can access to the data to your society (1), and the access to the database is only reserved to authorized personnel.

(1): http://www.industria.gob.ar/rin/consulta-de-certificados-de-rin/","0","0","Ministerio de Justicia y Derechos Humanos, Registro Nacional de Sociedades, Resolución General I.G.J. N° 05/07, http://www.jus.gob.ar/igj/la-igj/marco-normativo/resoluciones/registro-nacional-de-sociedades.aspx","http://www.industria.gob.ar/rin/consulta-de-certificados-de-rin/","","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","ODB.2013.D8","15","0","5","10","0","0","0","0","0","0","0","0","The Ministry of Justice provides a system for searching for law (1). A similar project was released by the Presidency (2)

(1): http://www.infojus.gob.ar/
(2): http://www.infoleg.gov.ar/","0","0","","(1): http://www.infoleg.gov.ar/ Accessed September 29th, 2014
(2): (1): http://www.infojus.gob.ar/ Accessed September 29th, 2014","No","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","ODB.2013.D9","95","1","5","10","15","15","15","15","10","5","5","0","There are some databases on transport timetables, but they are not unified and only some cases they are shared and not as databases, but as PDF files.","0","0","","GPS data on transport in Bahia Blanca: http://bahiablanca.opendata.junar.com/datastreams/87905/gps-transporte/ Accessed on September 29th, 2014
State of highways in Buenos Aires: http://data.buenosaires.gob.ar/dataset/estado-autopista Accessed on September 29th, 2014
Bike parking spots in Buenos Aires http://data.buenosaires.gob.ar/dataset/bicicleteros-en-via-publica Accessed on September 29th, 2014
Transport datasets in Buenos Aires: http://data.buenosaires.gob.ar/dataset#tags_cats=.tr%C3%A1nsito. Accessed on September 29th, 2014
Timetables in Santa Rosa http://www.santarosa.gov.ar/portal/index.php/transporte-publico/horarios-y-recorridos Accessed on September 29th, 2014
Servicios de La Plata, http://www.servicios.laplata.gov.ar/red-de-transporte-publico Accessed on September 29th, 2014
XColectivos, http://www.xcolectivo.com.ar/ Accessed on September 29th, 2014","No","http://bahiablanca.opendata.junar.com/datastreams/87905-gps-transporte.csv
https://recursos-data.buenosaires.gob.ar/ckan2/bicicleteros-via-publica/bicicleteros-via-publica.zip","shp,csv,xls","0","As mentioned earlier, not all the data is published in a machine-readable format. In many cases, tables are released in pdf files.","","see c:","","","Bahia Blanca: CC-BY. No information about license in other sites.","http://creativecommons.org/licenses/by/2.5/ar/","Some datasets like the location of bike parking was updated in 2014-09-18","9/29/2014","irregular","","","0","0"
"Argentina","ODB.2013.D10","10","0","5","10","0","0","0","0","-5","0","0","0","Theres is a lot of data collected but a great part of it is not shared, or in some cases it is accessible internally. There is a Unity of Monitoring within the Subsecretaría del Comercio Exterior (Ministerio de Economía y Finanzas Públicas) that has the legal mandate of providing updated information on foreign trade to different areas of the Ministry of Foreign Trade. In fact it mentions they have developed various tech tools for information management, allowing easy and dynamic access to data on foreign trade within the Secretariat and other areas of the Ministry. It produces some data that is shared through the Instituto Nacional de Estadística y Censos as reports.","0","0","","INDEC provides a map (1) showing theorigin and destination of products exported.

(1): http://www.opex.sig.indec.gov.ar/comex/index.php?pagina=mapa_dinamico
(2): Subsecretaría del Comercio Exterior, http://www.mecon.gov.ar/comercioexterior/ provides several reports, only updated until 2013 (see http://www.mecon.gov.ar/comercioexterior/docs/ica_10_13.pdf)","No","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Argentina","ODB.2013.D11","15","0","5","10","0","0","0","0","0","0","0","0","There is some data on health services on the Sistema Integrado de Información Sanitaria Argentino (Ministerio de Salud), however to access it, an authorization is needed. There Argentinian Open Data portal provides some outdated datasets. The Ministry of Health provides a Unified Information System of Health Data (2) but most of its features requires a user/password. The Ministerio de Salud also has some data on some basic indicators (3), but the last publication on those date from 2012.

(1): Portal de Datos Abiertos http://datospublicos.gov.ar/data/dataset?organization=ministerio-de-salud
(2): Sistema Integrado de Información Sanitaria Argentino, https://sisa.msal.gov.ar/sisa/#sisa, Accessed on 13th May, 2014
(3): Ministerio de Salud, http://www.deis.gov.ar/indicadores.htm, Accessed on 13th May, 2014","0","0","","(1): http://www.deis.gov.ar/publicaciones/archivos/indicadores_2013.pdf Accessed September 29th, 2014
(2): http://www.deis.gov.ar/indicadores.htm Accessed September 29th, 2014","No","0","0","Reports in PDF","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
